model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,18,34,4.3083759082163250e-06,6.4680265704225191e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,35,4.2333927771206788e-06,6.3554568006085148e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,36,4.1076347744723568e-06,6.1666603446118592e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,37,3.5259835592632417e-06,5.2934460302535209e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,38,3.1175512512808705e-06,4.6802797057433967e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,39,2.0634736025506921e-06,3.0978267386582032e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,40,1.9802887096660016e-06,2.9729439269216852e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,41,1.7468201231186475e-06,2.6224450258700238e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,42,1.6110978842394125e-06,2.4186895815983195e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,43,1.4561066697876592e-06,2.1860062423046909e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,44,1.3875676104185976e-06,2.0831107506960236e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,45,1.3604413924816424e-06,2.0423870297141337e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,46,1.3248624176944918e-06,1.9889734559744748e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,47,1.1733901245543594e-06,1.7615729603852184e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,48,1.1549359086453268e-06,1.7338682379146685e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,49,9.9765162831911571e-07,1.4977423923681760e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,50,8.4500532054937264e-07,1.2685793862691227e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,51,7.0905882874254228e-07,1.0644872782695819e-07,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,52,5.6532505217863421e-07,8.4870436942228557e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,53,5.4833064174502369e-07,8.2319120609230918e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,54,4.9689924574928796e-07,7.4597890081970292e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,55,4.9253505263173754e-07,7.3942707766310706e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,56,4.0657899012692997e-07,6.1038399785437120e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,57,3.4504580292256912e-07,5.1800619743041497e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,58,3.1322317611553013e-07,4.7023190843765575e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,59,3.0322930917505151e-07,4.5522843652866807e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,60,2.5526326653678867e-07,3.8321855510893243e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,61,2.3083008038753868e-07,3.4653779637753962e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,62,2.1435880884133862e-07,3.2181000468083670e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,63,2.0240673606551889e-07,3.0386674115589730e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,64,1.6892571172059184e-07,2.5360275312853738e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,65,1.6197420856799031e-07,2.4316668439793835e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,66,1.1988079471581545e-07,1.7997319222460222e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,67,1.0744705202409150e-07,1.6130681310329613e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,68,1.0131522310863929e-07,1.5210129501589006e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,69,8.5337788480924983e-08,1.2811488484630276e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,70,8.3735121596635520e-08,1.2570885245452567e-08,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,71,6.0302221453621706e-08,9.0529791022576704e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,72,5.6587437805629771e-08,8.4952905474414246e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,73,5.6340726458807096e-08,8.4582525642090280e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,74,5.0138145570262707e-08,7.5270789886676791e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,75,4.7346149410327149e-08,7.1079255598189615e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,76,4.3247564347188533e-08,6.4926181294955820e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,77,3.0654555544675642e-08,4.6020701069591901e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,78,2.1531445461436741e-08,3.2324468502989226e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,79,1.8982825734469183e-08,2.8498307447615166e-09,parity-PRG-sector-hybrid,0.737448808997
NNN-TFIM,18,80,1.2930273760340187e-08,1.9411805289604310e-09,parity-PRG-sector-hybrid,0.737448808997
