model,L,rank,x,pi,source,KF_of_distribution
NNN-TFIM,12,47,2.8257100699271989e-10,9.7771088099682124e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,48,2.8245390492957251e-10,9.7730570156052716e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,49,2.7022301136254492e-10,9.3498615203538784e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,50,2.0059778677672134e-10,6.9407913049102617e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,51,1.4365823636214343e-10,4.9706522382071394e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,52,1.1726942352723495e-10,4.0575851220913194e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,53,1.0962524274002252e-10,3.7930923557772936e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,54,8.7277135191070115e-11,3.0198358156659114e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,55,7.2616183480918960e-11,2.5125590017657141e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,56,6.4524608061695781e-11,2.2325861405731736e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,57,6.2475249365977898e-11,2.1616772275465639e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,58,5.6291121868748934e-11,1.9477030902895108e-11,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,59,2.0320364342479225e-11,7.0309553463755097e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,60,1.8107015460479086e-11,6.2651247297087973e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,61,1.5775230243931371e-11,5.4583145043324313e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,62,1.4918577138231779e-11,5.1619079226395724e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,63,1.1409700529087757e-11,3.9478177449718659e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,64,1.1141234977383642e-11,3.8549272202618449e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,65,6.0553129715474031e-12,2.0951708539141176e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,66,4.8870437036509634e-12,1.6909434042147338e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,67,4.4890385990441835e-12,1.5532314975305665e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,68,4.4430982856394512e-12,1.5373359020233571e-12,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,69,2.6650828037900234e-12,9.2213298305234631e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,70,1.7186944782954926e-12,5.9467753271019455e-13,parity-PRG-sector-hybrid,0.776816878022
NNN-TFIM,12,71,4.6992363511728359e-13,1.6259610502205036e-13,parity-PRG-sector-hybrid,0.776816878022
